;;;Interrupt;;;;Polling;
Bez;inc;Soll;Int LB 1;Int LB 2;Int LB 11-21;Int LB 12-22;Puls LB 1;Puls LB 2
Geschwindigkeit [km/h]:;96;188.5;201.87;192.86;195.06;188.98;197.56;188.78
Geschwindigkeit [km/h]:;97;188.5;189.47;192.86;192.58;195.06;198.77;189.89
Geschwindigkeit [km/h]:;98;188.5;195.18;199.38;193.82;196.75;199.69;195.03
Geschwindigkeit [km/h]:;99;188.5;195.77;192.86;195.48;193.4;205.39;202.82
Geschwindigkeit [km/h]:;100;188.5;195.77;192.86;195.91;193.82;191.29;195.03
Geschwindigkeit [km/h]:;101;188.5;201.87;192.86;195.91;189.77;197.56;194.89
Geschwindigkeit [km/h]:;102;188.5;195.18;192.86;192.58;190.97;197.41;201.4
Geschwindigkeit [km/h]:;103;188.5;195.77;192.86;197.61;195.48;198.62;194.89
Geschwindigkeit [km/h]:;104;188.5;195.77;186.74;198.04;191.37;197.56;196.07
Geschwindigkeit [km/h]:;105;188.5;195.18;192.86;198.91;197.18;197.56;195.92
Geschwindigkeit [km/h]:;106;188.5;195.77;192.86;194.65;192.58;197.56;195.92
Geschwindigkeit [km/h]:;107;188.5;195.77;192.86;199.78;197.61;199.69;194.89
Geschwindigkeit [km/h]:;108;188.5;201.87;192.86;195.91;189.77;193.29;196.07
Geschwindigkeit [km/h]:;109;188.5;201.87;192.86;197.18;190.97;197.56;202.82
Geschwindigkeit [km/h]:;110;188.5;195.77;186.74;198.04;191.37;197.56;195.03
Geschwindigkeit [km/h]:;111;188.5;195.77;192.86;195.06;192.99;197.56;188.78
Geschwindigkeit [km/h]:;112;188.5;195.18;192.86;195.48;193.82;198.62;194.89
Geschwindigkeit [km/h]:;113;188.5;195.18;193.43;197.61;196.33;197.56;196.07
Geschwindigkeit [km/h]:;114;188.5;195.18;192.86;194.23;192.58;197.56;195.03
Geschwindigkeit [km/h]:;115;188.5;195.77;192.86;190.17;188.2;197.56;195.92
Geschwindigkeit [km/h]:;116;188.5;195.18;193.43;191.37;190.17;193.29;195.92
